source,target,value
skins,Crocodylus niloticus,35
leather products (small),Caiman crocodilus fuscus,34
leather products (small),Crocodylus niloticus,34
leather products (small),Ptyas mucosus,34
skins,Crocodylus niloticus,34
leather products (large),Crocodylus porosus,33
leather products (small),Python reticulatus,33
leather products (small),Varanus niloticus,33
skins,Lynx rufus,33
leather products (large),Crocodylus niloticus,32
leather products (small),Crocodylus novaeguineae,32
leather products (small),Python bivittatus,32
leather products (small),Python reticulatus,32
leather products (small),Varanus salvator,32
leather products (small),Crocodylus porosus,31
leather products (small),Alligator mississippiensis,30
leather products (small),Alligator mississippiensis,30
leather products (small),Caiman crocodilus,30
leather products (small),Caiman crocodilus fuscus,30
leather products (small),Caiman crocodilus fuscus,30
leather products (small),Crocodylus novaeguineae,30
skins,Alligator mississippiensis,30
leather products (small),Caiman crocodilus yacare,29
leather products (small),Crocodylus niloticus,29
leather products (small),Python bivittatus,29
leather products (small),Python reticulatus,29
leather products (small),Naja sputatrix,28
leather products (small),Alligator mississippiensis,27
leather products (small),Crocodylus niloticus,27
leather products (small),Crocodylus porosus,27
leather products (small),Crocodylus siamensis,27
leather products (small),Salvator merianae,27
skins,Crocodylus porosus,27
skins,Lynx canadensis,27
leather products (large),Alligator mississippiensis,26
leather products (large),Crocodylus niloticus,26
leather products (small),Caiman crocodilus crocodilus,26
leather products (small),Python bivittatus,26
leather products (small),Salvator merianae,26
skins,Alligator mississippiensis,26
skins,Caiman crocodilus fuscus,26
leather products (small),Python brongersmai,25
leather products (small),Python reticulatus,25
leather products (small),Tupinambis teguixin,25
leather products (small),Varanus niloticus,25
skins,Crocodylus porosus,25
leather products (small),Alligator mississippiensis,24
leather products (small),Eunectes notaeus,24
leather products (small),Naja sputatrix,24
leather products (small),Python curtus,24
leather products (small),Python reticulatus,24
skins,Alligator mississippiensis,24
skins,Varanus salvator,24
leather products (small),Caiman crocodilus,23
leather products (small),Caiman crocodilus fuscus,23
leather products (small),Caiman latirostris,23
leather products (small),Crocodylus hybrid,23
leather products (small),Crocodylus niloticus,22
leather products (small),Python reticulatus,22
leather products (small),Varanus salvator,22
skins,Alligator mississippiensis,22
leather products (small),Alligator mississippiensis,21
leather products (small),Alligator mississippiensis,21
leather products (small),Alligator mississippiensis,21
leather products (small),Caiman crocodilus fuscus,21
leather products (small),Python bivittatus,21
leather products (large),Alligator mississippiensis,20
leather products (large),Crocodylus porosus,20
leather products (large),Python reticulatus,20
leather products (small),Crocodylus porosus,20
leather products (small),Pecari tajacu,20
skins,Lynx rufus,20
skins,Python reticulatus,20
leather products (small),Caiman crocodilus fuscus,19
